topic,category,prompt,quality_score
classroom management,Education,What is classroom management?,0.31
virtual reality,Creative Writing,Write about virtual reality,0.22
lost civilization,Creative Writing,What is lost civilization?,0.21
evolution,Science,help with evolution,0.23
magic system,Creative Writing,Give me info on magic system,0.34
REST API,Coding,Act as a thought leader on REST API. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.85
redemption,Creative Writing,Tell me about redemption,0.39
supply chain,Business,Write about supply chain,0.33
SEO strategy,Marketing,"As a leading researcher in Marketing, analyze SEO strategy with academic rigor covering methodology findings implications and areas requiring further investigation.",0.96
stoicism,Philosophy,Tell me about stoicism,0.39
nuclear fusion,Science,Tell me about nuclear fusion,0.45
mystery thriller,Creative Writing,Act as a seasoned practitioner with 20 years experience in mystery thriller. Share expert insights common pitfalls best practices and real-world case studies.,0.86
team management,Business,Explain team management in detail with examples and practical applications.,0.66
business model canvas,Business,You are a senior professional in Business. Analyze business model canvas providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.91
plate tectonics,Science,Provide an overview of plate tectonics covering the main concepts and how they apply to Science.,0.64
artificial intelligence,Creative Writing,"As a leading researcher in Creative Writing, analyze artificial intelligence with academic rigor covering methodology findings implications and areas requiring further investigation.",0.87
sorting algorithms,Coding,Act as a specialist in sorting algorithms. Break down this subject systematically explaining core components their relationships and practical applications in Coding context.,0.89
moral relativism,Philosophy,Describe moral relativism including its key features benefits and limitations.,0.53
affiliate marketing,Marketing,You are an expert in affiliate marketing. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.92
community building,Marketing,community building explanation,0.26
business model canvas,Business,"As a domain expert, explain business model canvas thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.97
climate change,Science,You are a senior professional in Science. Analyze climate change providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.85
magic system,Creative Writing,Walk me through magic system step by step covering the basics and intermediate concepts.,0.72
blockchain,Coding,"As a leading researcher in Coding, analyze blockchain with academic rigor covering methodology findings implications and areas requiring further investigation.",0.95
docker,Coding,Provide an overview of docker covering the main concepts and how they apply to Coding.,0.76
ethics of AI,Philosophy,"As a domain expert, explain ethics of AI thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.87
stem cells,Science,Write about stem cells,0.44
gamification,Education,Explain gamification,0.2
time travel,Creative Writing,You are a senior professional in Creative Writing. Analyze time travel providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.93
nanotechnology,Science,You are a world-renowned expert in nanotechnology. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.84
community building,Marketing,Act as a specialist in community building. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.97
conversion optimization,Marketing,You are a world-renowned expert in conversion optimization. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.95
stem cells,Science,Explain stem cells in detail with examples and practical applications.,0.6
peer teaching,Education,Act as a specialist in peer teaching. Break down this subject systematically explaining core components their relationships and practical applications in Education context.,0.83
brand identity,Business,What are the most important aspects of brand identity in the context of Business?,0.63
revenue model,Business,Give a structured explanation of revenue model with clear sections and examples.,0.56
particle physics,Science,Describe particle physics including its key features benefits and limitations.,0.71
learning disabilities,Education,Explain learning disabilities in detail with examples and practical applications.,0.67
stem cells,Science,"As a domain expert, explain stem cells thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.85
personalized learning,Education,"As a leading researcher in Education, analyze personalized learning with academic rigor covering methodology findings implications and areas requiring further investigation.",0.93
video marketing,Marketing,Describe video marketing including its key features benefits and limitations.,0.58
neural networks,Coding,Act as a seasoned practitioner with 20 years experience in neural networks. Share expert insights common pitfalls best practices and real-world case studies.,0.82
product positioning,Marketing,Write about product positioning,0.24
peer teaching,Education,Tell me about peer teaching,0.35
leadership,General,help with leadership,0.38
creativity,General,You are a senior professional in General. Analyze creativity providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.93
venture capital,Business,Tell me about venture capital,0.38
viral content,Marketing,Describe viral content briefly,0.4
email marketing,Marketing,Give a structured explanation of email marketing with clear sections and examples.,0.74
docker,Coding,What are the most important aspects of docker in the context of Coding?,0.75
dystopian society,Creative Writing,Explain dystopian society for someone with basic knowledge of Creative Writing using clear language.,0.53
blended learning,Education,Walk me through blended learning step by step covering the basics and intermediate concepts.,0.74
sustainable living,General,"As a leading researcher in General, analyze sustainable living with academic rigor covering methodology findings implications and areas requiring further investigation.",0.85
mind body problem,Philosophy,Provide an overview of mind body problem covering the main concepts and how they apply to Philosophy.,0.59
photosynthesis,Science,Walk me through photosynthesis step by step covering the basics and intermediate concepts.,0.73
existentialism,Philosophy,"As a domain expert, explain existentialism thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.93
dystopian society,Creative Writing,Tell me about dystopian society,0.44
time management,General,"As a leading researcher in General, analyze time management with academic rigor covering methodology findings implications and areas requiring further investigation.",0.82
emotional intelligence,General,Describe emotional intelligence including its key features benefits and limitations.,0.74
quantum mechanics,Science,Describe quantum mechanics briefly,0.32
stoicism,Philosophy,help with stoicism,0.22
emotional intelligence,General,What are the most important aspects of emotional intelligence in the context of General?,0.54
meaning of life,Philosophy,What is meaning of life?,0.19
venture capital,Business,Act as a seasoned practitioner with 20 years experience in venture capital. Share expert insights common pitfalls best practices and real-world case studies.,0.86
content marketing,Marketing,What are the most important aspects of content marketing in the context of Marketing?,0.63
blended learning,Education,Tell me about blended learning,0.32
photosynthesis,Science,Explain photosynthesis for someone with basic knowledge of Science using clear language.,0.55
project based learning,Education,Provide an overview of project based learning covering the main concepts and how they apply to Education.,0.76
magic system,Creative Writing,You are an expert in magic system. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.88
resilience,General,You are a senior professional in General. Analyze resilience providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.94
dystopian society,Creative Writing,Provide an overview of dystopian society covering the main concepts and how they apply to Creative Writing.,0.69
time management,General,help with time management,0.38
video marketing,Marketing,Act as a specialist in video marketing. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.95
nuclear fusion,Science,What is nuclear fusion?,0.36
referral program,Marketing,Give a structured explanation of referral program with clear sections and examples.,0.75
stem cells,Science,Give me info on stem cells,0.18
SEO strategy,Marketing,Write about SEO strategy,0.29
team management,Business,Describe team management briefly,0.37
email marketing,Marketing,Provide an overview of email marketing covering the main concepts and how they apply to Marketing.,0.73
customer retention,Business,Describe customer retention briefly,0.31
startup funding,Business,Write about startup funding,0.35
pricing strategy,Business,Act as a specialist in pricing strategy. Break down this subject systematically explaining core components their relationships and practical applications in Business context.,0.84
customer retention,Business,customer retention explanation,0.18
system design,Coding,You are a world-renowned expert in system design. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
community building,Marketing,Write about community building,0.36
affiliate marketing,Marketing,Give a structured explanation of affiliate marketing with clear sections and examples.,0.71
epistemology,Philosophy,"As a leading researcher in Philosophy, analyze epistemology with academic rigor covering methodology findings implications and areas requiring further investigation.",0.83
particle physics,Science,Walk me through particle physics step by step covering the basics and intermediate concepts.,0.63
machine learning,Coding,Walk me through machine learning step by step covering the basics and intermediate concepts.,0.55
student motivation,Education,Act as a thought leader on student motivation. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.87
post apocalyptic world,Creative Writing,Explain post apocalyptic world for someone with basic knowledge of Creative Writing using clear language.,0.58
political philosophy,Philosophy,What is political philosophy?,0.2
sustainable living,General,Describe sustainable living including its key features benefits and limitations.,0.74
referral program,Marketing,"As a domain expert, explain referral program thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
personal finance,General,You are a world-renowned expert in personal finance. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
curriculum design,Education,curriculum design explanation,0.23
climate change,Science,Act as a seasoned practitioner with 20 years experience in climate change. Share expert insights common pitfalls best practices and real-world case studies.,0.93
growth hacking,Marketing,Describe growth hacking including its key features benefits and limitations.,0.71
docker,Coding,You are a world-renowned expert in docker. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.85
recursion,Coding,Explain recursion,0.38
CRISPR,Science,You are an expert in CRISPR. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.96
free will,Philosophy,Explain free will,0.2
productivity,General,What is productivity?,0.42
assessment methods,Education,Explain assessment methods for someone with basic knowledge of Education using clear language.,0.63
online learning,Education,Act as a seasoned practitioner with 20 years experience in online learning. Share expert insights common pitfalls best practices and real-world case studies.,0.84
emotional intelligence,General,Tell me about emotional intelligence,0.21
existentialism,Philosophy,You are a world-renowned expert in existentialism. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.97
neural networks,Coding,Explain neural networks in detail with examples and practical applications.,0.51
sorting algorithms,Coding,What are the most important aspects of sorting algorithms in the context of Coding?,0.73
recursion,Coding,You are a senior professional in Coding. Analyze recursion providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.93
STEM education,Education,What are the most important aspects of STEM education in the context of Education?,0.71
customer journey,Marketing,customer journey explanation,0.44
assessment methods,Education,Explain assessment methods in detail with examples and practical applications.,0.59
artificial intelligence,Creative Writing,Explain artificial intelligence for someone with basic knowledge of Creative Writing using clear language.,0.78
magic system,Creative Writing,Write about magic system,0.33
brand storytelling,Marketing,You are a world-renowned expert in brand storytelling. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.83
gamification,Education,Walk me through gamification step by step covering the basics and intermediate concepts.,0.63
gamification,Education,gamification explanation,0.23
pricing strategy,Business,Explain pricing strategy for someone with basic knowledge of Business using clear language.,0.75
affiliate marketing,Marketing,Walk me through affiliate marketing step by step covering the basics and intermediate concepts.,0.6
consciousness,Philosophy,You are an expert in consciousness. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.87
video marketing,Marketing,"As a leading researcher in Marketing, analyze video marketing with academic rigor covering methodology findings implications and areas requiring further investigation.",0.94
digital identity,Philosophy,You are an expert in digital identity. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.94
business model canvas,Business,Describe business model canvas including its key features benefits and limitations.,0.57
free will,Philosophy,What is free will?,0.44
revenue model,Business,What are the most important aspects of revenue model in the context of Business?,0.63
kubernetes,Coding,Give a structured explanation of kubernetes with clear sections and examples.,0.78
epistemology,Philosophy,What are the most important aspects of epistemology in the context of Philosophy?,0.73
video marketing,Marketing,Explain video marketing for someone with basic knowledge of Marketing using clear language.,0.53
future of work,General,"As a leading researcher in General, analyze future of work with academic rigor covering methodology findings implications and areas requiring further investigation.",0.96
concurrency,Coding,Describe concurrency briefly,0.21
gamification,Education,Describe gamification briefly,0.26
venture capital,Business,Explain venture capital in detail with examples and practical applications.,0.74
stoicism,Philosophy,You are a world-renowned expert in stoicism. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.89
brand identity,Business,Provide an overview of brand identity covering the main concepts and how they apply to Business.,0.55
DNA replication,Science,You are a senior professional in Science. Analyze DNA replication providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.91
viral content,Marketing,Act as a specialist in viral content. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.93
meaning of life,Philosophy,What are the most important aspects of meaning of life in the context of Philosophy?,0.67
truth and knowledge,Philosophy,Walk me through truth and knowledge step by step covering the basics and intermediate concepts.,0.54
nanotechnology,Science,"As a leading researcher in Science, analyze nanotechnology with academic rigor covering methodology findings implications and areas requiring further investigation.",0.87
DNA replication,Science,You are a world-renowned expert in DNA replication. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.91
found family,Creative Writing,Explain found family for someone with basic knowledge of Creative Writing using clear language.,0.71
blended learning,Education,"As a leading researcher in Education, analyze blended learning with academic rigor covering methodology findings implications and areas requiring further investigation.",0.93
learning disabilities,Education,Give a structured explanation of learning disabilities with clear sections and examples.,0.6
quantum mechanics,Science,Walk me through quantum mechanics step by step covering the basics and intermediate concepts.,0.72
free will,Philosophy,Walk me through free will step by step covering the basics and intermediate concepts.,0.63
ethics of AI,Philosophy,Describe ethics of AI briefly,0.31
leadership,General,Walk me through leadership step by step covering the basics and intermediate concepts.,0.72
marketing strategy,Business,Act as a seasoned practitioner with 20 years experience in marketing strategy. Share expert insights common pitfalls best practices and real-world case studies.,0.97
existentialism,Philosophy,Give a structured explanation of existentialism with clear sections and examples.,0.71
classroom management,Education,Act as a specialist in classroom management. Break down this subject systematically explaining core components their relationships and practical applications in Education context.,0.85
lost civilization,Creative Writing,Describe lost civilization briefly,0.19
project based learning,Education,You are a world-renowned expert in project based learning. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.85
identity crisis,Creative Writing,You are an expert in identity crisis. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.92
conflict resolution,General,What are the most important aspects of conflict resolution in the context of General?,0.55
brand storytelling,Marketing,Explain brand storytelling,0.32
social contract,Philosophy,You are a world-renowned expert in social contract. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.97
unreliable narrator,Creative Writing,You are a senior professional in Creative Writing. Analyze unreliable narrator providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.92
sorting algorithms,Coding,Explain sorting algorithms,0.38
evolution,Science,You are an expert in evolution. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.85
online learning,Education,You are a senior professional in Education. Analyze online learning providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.93
particle physics,Science,Explain particle physics for someone with basic knowledge of Science using clear language.,0.67
leadership,General,What are the most important aspects of leadership in the context of General?,0.78
strategic planning,Business,"As a leading researcher in Business, analyze strategic planning with academic rigor covering methodology findings implications and areas requiring further investigation.",0.94
brand identity,Business,Act as a specialist in brand identity. Break down this subject systematically explaining core components their relationships and practical applications in Business context.,0.98
learning disabilities,Education,Write about learning disabilities,0.18
time travel,Creative Writing,Explain time travel in detail with examples and practical applications.,0.58
existentialism,Philosophy,help with existentialism,0.39
lost civilization,Creative Writing,"As a leading researcher in Creative Writing, analyze lost civilization with academic rigor covering methodology findings implications and areas requiring further investigation.",0.86
virtual reality,Creative Writing,Act as a specialist in virtual reality. Break down this subject systematically explaining core components their relationships and practical applications in Creative Writing context.,0.83
found family,Creative Writing,You are a world-renowned expert in found family. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.87
black holes,Science,black holes explanation,0.3
found family,Creative Writing,Act as a thought leader on found family. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.91
justice and equality,Philosophy,Explain justice and equality in detail with examples and practical applications.,0.53
decision making,General,What is decision making?,0.35
REST API,Coding,Walk me through REST API step by step covering the basics and intermediate concepts.,0.5
habit formation,General,Act as a specialist in habit formation. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.84
STEM education,Education,"As a domain expert, explain STEM education thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.83
system design,Coding,You are a senior professional in Coding. Analyze system design providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.98
team management,Business,help with team management,0.31
curriculum design,Education,Act as a specialist in curriculum design. Break down this subject systematically explaining core components their relationships and practical applications in Education context.,0.92
digital identity,Philosophy,Act as a specialist in digital identity. Break down this subject systematically explaining core components their relationships and practical applications in Philosophy context.,0.83
brand identity,Business,Write about brand identity,0.39
microservices,Coding,Give a structured explanation of microservices with clear sections and examples.,0.79
content marketing,Marketing,Explain content marketing for someone with basic knowledge of Marketing using clear language.,0.6
content marketing,Marketing,Provide an overview of content marketing covering the main concepts and how they apply to Marketing.,0.8
competitive analysis,Business,Give a structured explanation of competitive analysis with clear sections and examples.,0.63
peer teaching,Education,Walk me through peer teaching step by step covering the basics and intermediate concepts.,0.51
competitive analysis,Business,Write about competitive analysis,0.29
assessment methods,Education,Give a structured explanation of assessment methods with clear sections and examples.,0.6
post apocalyptic world,Creative Writing,"As a domain expert, explain post apocalyptic world thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.87
customer journey,Marketing,Provide an overview of customer journey covering the main concepts and how they apply to Marketing.,0.55
truth and knowledge,Philosophy,Write about truth and knowledge,0.39
community building,Marketing,Provide an overview of community building covering the main concepts and how they apply to Marketing.,0.7
consciousness,Philosophy,What is consciousness?,0.44
online learning,Education,Provide an overview of online learning covering the main concepts and how they apply to Education.,0.79
time management,General,Explain time management in detail with examples and practical applications.,0.58
pricing strategy,Business,You are a world-renowned expert in pricing strategy. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
peer teaching,Education,Give a structured explanation of peer teaching with clear sections and examples.,0.61
mind body problem,Philosophy,Tell me about mind body problem,0.4
business model canvas,Business,Tell me about business model canvas,0.43
personalized learning,Education,help with personalized learning,0.37
strategic planning,Business,help with strategic planning,0.17
pricing strategy,Business,Explain pricing strategy,0.26
redemption,Creative Writing,You are a senior professional in Creative Writing. Analyze redemption providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.89
photosynthesis,Science,Describe photosynthesis including its key features benefits and limitations.,0.63
particle physics,Science,You are an expert in particle physics. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.96
influencer strategy,Marketing,Walk me through influencer strategy step by step covering the basics and intermediate concepts.,0.54
microservices,Coding,Give me info on microservices,0.34
personalized learning,Education,Describe personalized learning briefly,0.22
social media campaign,Marketing,Describe social media campaign briefly,0.23
decision making,General,Explain decision making in detail with examples and practical applications.,0.51
referral program,Marketing,Explain referral program for someone with basic knowledge of Marketing using clear language.,0.52
brand identity,Business,What is brand identity?,0.38
community building,Marketing,What is community building?,0.38
referral program,Marketing,Provide an overview of referral program covering the main concepts and how they apply to Marketing.,0.71
found family,Creative Writing,Act as a seasoned practitioner with 20 years experience in found family. Share expert insights common pitfalls best practices and real-world case studies.,0.95
formative assessment,Education,Write about formative assessment,0.2
machine learning,Coding,Describe machine learning briefly,0.3
underwater world,Creative Writing,Walk me through underwater world step by step covering the basics and intermediate concepts.,0.51
student motivation,Education,Write about student motivation,0.25
consciousness,Philosophy,You are a world-renowned expert in consciousness. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.92
customer journey,Marketing,Act as a thought leader on customer journey. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
virtual reality,Creative Writing,You are an expert in virtual reality. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.96
content marketing,Marketing,Tell me about content marketing,0.25
startup funding,Business,Act as a thought leader on startup funding. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.88
redemption,Creative Writing,What is redemption?,0.41
affiliate marketing,Marketing,help with affiliate marketing,0.32
mental health,General,You are a senior professional in General. Analyze mental health providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.94
brand storytelling,Marketing,What are the most important aspects of brand storytelling in the context of Marketing?,0.65
CRISPR,Science,"As a leading researcher in Science, analyze CRISPR with academic rigor covering methodology findings implications and areas requiring further investigation.",0.84
habit formation,General,"As a leading researcher in General, analyze habit formation with academic rigor covering methodology findings implications and areas requiring further investigation.",0.83
influencer strategy,Marketing,You are a senior professional in Marketing. Analyze influencer strategy providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.9
viral content,Marketing,Act as a thought leader on viral content. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.93
future of work,General,"As a domain expert, explain future of work thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.96
decision making,General,decision making explanation,0.2
epistemology,Philosophy,You are a senior professional in Philosophy. Analyze epistemology providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.87
truth and knowledge,Philosophy,Explain truth and knowledge for someone with basic knowledge of Philosophy using clear language.,0.65
gamification,Education,You are a senior professional in Education. Analyze gamification providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.9
project based learning,Education,Act as a specialist in project based learning. Break down this subject systematically explaining core components their relationships and practical applications in Education context.,0.98
product launch,Business,Describe product launch briefly,0.21
meaning of life,Philosophy,Describe meaning of life briefly,0.22
peer teaching,Education,help with peer teaching,0.43
product launch,Business,Act as a seasoned practitioner with 20 years experience in product launch. Share expert insights common pitfalls best practices and real-world case studies.,0.93
plate tectonics,Science,Write about plate tectonics,0.16
time management,General,Walk me through time management step by step covering the basics and intermediate concepts.,0.58
blended learning,Education,Give me info on blended learning,0.21
dark matter,Science,dark matter explanation,0.25
video marketing,Marketing,Walk me through video marketing step by step covering the basics and intermediate concepts.,0.64
growth hacking,Marketing,"As a leading researcher in Marketing, analyze growth hacking with academic rigor covering methodology findings implications and areas requiring further investigation.",0.92
system design,Coding,"As a leading researcher in Coding, analyze system design with academic rigor covering methodology findings implications and areas requiring further investigation.",0.95
moral relativism,Philosophy,Describe moral relativism briefly,0.37
conflict resolution,General,What is conflict resolution?,0.25
resilience,General,Walk me through resilience step by step covering the basics and intermediate concepts.,0.78
political philosophy,Philosophy,Describe political philosophy briefly,0.4
social contract,Philosophy,Provide an overview of social contract covering the main concepts and how they apply to Philosophy.,0.69
particle physics,Science,What are the most important aspects of particle physics in the context of Science?,0.65
black holes,Science,Describe black holes including its key features benefits and limitations.,0.52
DNA replication,Science,Explain DNA replication in detail with examples and practical applications.,0.62
project based learning,Education,project based learning explanation,0.26
product positioning,Marketing,Explain product positioning in detail with examples and practical applications.,0.75
affiliate marketing,Marketing,Write about affiliate marketing,0.4
concurrency,Coding,Tell me about concurrency,0.18
REST API,Coding,help with REST API,0.31
conflict resolution,General,Write about conflict resolution,0.19
referral program,Marketing,Describe referral program including its key features benefits and limitations.,0.56
STEM education,Education,Explain STEM education in detail with examples and practical applications.,0.64
magic system,Creative Writing,Tell me about magic system,0.16
post apocalyptic world,Creative Writing,You are a world-renowned expert in post apocalyptic world. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.98
graph algorithms,Coding,You are a senior professional in Coding. Analyze graph algorithms providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.93
free will,Philosophy,Describe free will briefly,0.38
customer retention,Business,"As a domain expert, explain customer retention thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.93
online learning,Education,You are a world-renowned expert in online learning. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.93
supply chain,Business,What are the most important aspects of supply chain in the context of Business?,0.78
personalized learning,Education,"As a domain expert, explain personalized learning thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.97
influencer strategy,Marketing,Describe influencer strategy briefly,0.44
viral content,Marketing,"As a domain expert, explain viral content thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.85
email marketing,Marketing,Describe email marketing briefly,0.3
existentialism,Philosophy,You are a senior professional in Philosophy. Analyze existentialism providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.84
CRISPR,Science,Describe CRISPR briefly,0.43
student motivation,Education,Explain student motivation for someone with basic knowledge of Education using clear language.,0.55
truth and knowledge,Philosophy,"As a domain expert, explain truth and knowledge thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.91
social media campaign,Marketing,What is social media campaign?,0.23
evolution,Science,Tell me about evolution,0.26
digital transformation,Business,"As a leading researcher in Business, analyze digital transformation with academic rigor covering methodology findings implications and areas requiring further investigation.",0.97
machine learning,Coding,Write about machine learning,0.41
blended learning,Education,Explain blended learning,0.3
learning disabilities,Education,"As a domain expert, explain learning disabilities thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.97
curriculum design,Education,Describe curriculum design including its key features benefits and limitations.,0.59
parallel universe,Creative Writing,parallel universe explanation,0.3
formative assessment,Education,Explain formative assessment,0.23
future of work,General,Tell me about future of work,0.16
vaccine development,Science,Act as a seasoned practitioner with 20 years experience in vaccine development. Share expert insights common pitfalls best practices and real-world case studies.,0.88
mental health,General,Give me info on mental health,0.32
mind body problem,Philosophy,Explain mind body problem in detail with examples and practical applications.,0.71
personal finance,General,Act as a seasoned practitioner with 20 years experience in personal finance. Share expert insights common pitfalls best practices and real-world case studies.,0.86
marketing strategy,Business,Write about marketing strategy,0.24
nuclear fusion,Science,You are a world-renowned expert in nuclear fusion. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.92
STEM education,Education,You are a world-renowned expert in STEM education. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.82
photosynthesis,Science,What is photosynthesis?,0.41
justice and equality,Philosophy,Describe justice and equality including its key features benefits and limitations.,0.78
digital identity,Philosophy,Describe digital identity briefly,0.35
pricing strategy,Business,Walk me through pricing strategy step by step covering the basics and intermediate concepts.,0.76
truth and knowledge,Philosophy,Act as a seasoned practitioner with 20 years experience in truth and knowledge. Share expert insights common pitfalls best practices and real-world case studies.,0.87
machine learning,Coding,Explain machine learning for someone with basic knowledge of Coding using clear language.,0.53
online learning,Education,Write about online learning,0.28
marketing strategy,Business,"As a leading researcher in Business, analyze marketing strategy with academic rigor covering methodology findings implications and areas requiring further investigation.",0.88
product positioning,Marketing,You are an expert in product positioning. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.91
graph algorithms,Coding,Describe graph algorithms including its key features benefits and limitations.,0.74
social media campaign,Marketing,Act as a specialist in social media campaign. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.94
digital transformation,Business,You are a world-renowned expert in digital transformation. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.85
pricing strategy,Business,Act as a seasoned practitioner with 20 years experience in pricing strategy. Share expert insights common pitfalls best practices and real-world case studies.,0.86
political philosophy,Philosophy,Act as a thought leader on political philosophy. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.87
existentialism,Philosophy,Explain existentialism,0.26
unreliable narrator,Creative Writing,Provide an overview of unreliable narrator covering the main concepts and how they apply to Creative Writing.,0.58
mind body problem,Philosophy,Describe mind body problem briefly,0.19
space exploration,Creative Writing,Walk me through space exploration step by step covering the basics and intermediate concepts.,0.79
sorting algorithms,Coding,Walk me through sorting algorithms step by step covering the basics and intermediate concepts.,0.69
product launch,Business,Explain product launch,0.42
brand identity,Business,Walk me through brand identity step by step covering the basics and intermediate concepts.,0.64
conversion optimization,Marketing,Tell me about conversion optimization,0.36
docker,Coding,Describe docker briefly,0.25
underwater world,Creative Writing,Act as a thought leader on underwater world. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.98
mystery thriller,Creative Writing,Tell me about mystery thriller,0.29
leadership,General,Describe leadership including its key features benefits and limitations.,0.51
online learning,Education,Describe online learning briefly,0.44
community building,Marketing,What are the most important aspects of community building in the context of Marketing?,0.51
competitive analysis,Business,Act as a seasoned practitioner with 20 years experience in competitive analysis. Share expert insights common pitfalls best practices and real-world case studies.,0.86
relativity theory,Science,You are a world-renowned expert in relativity theory. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.93
growth hacking,Marketing,Explain growth hacking in detail with examples and practical applications.,0.66
concurrency,Coding,"As a leading researcher in Coding, analyze concurrency with academic rigor covering methodology findings implications and areas requiring further investigation.",0.97
gamification,Education,You are a world-renowned expert in gamification. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.97
mystery thriller,Creative Writing,"As a leading researcher in Creative Writing, analyze mystery thriller with academic rigor covering methodology findings implications and areas requiring further investigation.",0.93
critical thinking,Education,Act as a seasoned practitioner with 20 years experience in critical thinking. Share expert insights common pitfalls best practices and real-world case studies.,0.94
neural networks,Coding,Give me info on neural networks,0.21
personal finance,General,Walk me through personal finance step by step covering the basics and intermediate concepts.,0.73
